"Station_code","Station_name","Lat","Long","Species","Tissue","Substance","Year","Conc","Limit_of_quantification","Body_length"
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2014,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2015,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2016,0.05,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2017,0.219,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2018,0.233,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CB52",2020,0.244,"Under LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",1996,0.47,"Over LOQ",24
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",1997,0.181,"Over LOQ",18.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",1998,0.384,"Over LOQ",21
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",1999,0.29,"Over LOQ",21.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2000,0.275,"Over LOQ",23.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2001,0.213,"Over LOQ",23.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2002,0.234,"Over LOQ",31.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2003,0.361,"Over LOQ",23
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2004,0.298,"Over LOQ",25.3
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2005,0.213,"Over LOQ",32.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2006,0.294,"Over LOQ",24.7
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2007,0.494,"Over LOQ",24.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2008,0.352,"Over LOQ",27.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2009,0.264,"Over LOQ",27.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2010,0.332,"Over LOQ",28
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2011,0.341,"Over LOQ",34.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2012,0.29,"Over LOQ",36.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2013,0.18,"Over LOQ",34.1
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2014,0.35,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2015,0.26,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2016,0.33,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2017,0.29,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2018,0.43,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CD",2020,0.28,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CR",2008,0.47,"Over LOQ",27.6
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CR",2009,0.17,"Over LOQ",27.8
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CR",2010,0.2,"Over LOQ",28
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CR",2011,0.32,"Over LOQ",34.5
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CR",2012,0.76,"Over LOQ",36.4
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CR",2013,0.16,"Over LOQ",34.1
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CR",2014,0.25,"Over LOQ",NA
"10A2","Skallnes, Outer Varangerfjord",30.3417,30.341745,"Mytilus edulis","Whole soft body","CR",2015,0.35,"Over LOQ",NA
